job_db_inx,mod_time,account,cpus_req,id_array_task,id_job,id_user,id_group,het_job_offset,mem_req,nodelist,partition,timelimit,time_submit,time_eligible,time_start,time_end,tres_alloc,tres_req
434,1734371313,\N,2,4294967294,1066,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734371308,1734371308,1734371309,1734371309,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
436,1734375008,utfpr,2,4294967294,1067,1027,1035,4294967294,0,mothra,kaijus,4294967295,1734375007,1734375007,1734375008,1734375008,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
438,1734375321,utfpr,2,4294967294,1068,1027,1035,4294967294,0,mothra,kaijus,4294967295,1734375086,1734375086,1734375086,1734375321,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
440,1734382139,\N,2,4294967294,1069,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734382136,1734382136,1734382136,1734382136,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
442,1734383093,\N,2,4294967294,1070,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734382423,1734382423,1734382423,1734383093,"1=2,3=18446744073709551614,4=1,5=2","1=2,2=256000,4=1,5=2"
444,1734971683,\N,8,4294967294,1071,1027,1050,4294967294,0,"ghidorah,godzilla",kaijus,4294967295,1734383195,1734383195,1734383196,1734971683,"1=8,4=2,5=8","1=8,2=512000,4=2,5=8"
446,1734462222,\N,4,4294967294,1072,1027,1050,4294967294,0,"ghidorah,godzilla",kaijus,4294967295,1734385596,1734385596,1734385596,1734462222,"1=4,4=2,5=4","1=4,2=512000,4=2,5=4"
464,1734616207,\N,1,4294967294,1082,1027,1023,4294967294,0,mothra,kaijus,43260,1734616204,1734616204,1734616204,1734616205,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
466,1734616942,\N,1,4294967294,1083,1027,1023,4294967294,0,mothra,kaijus,43260,1734616904,1734616904,1734616904,1734616942,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
468,1734619261,\N,1,4294967294,1084,1027,1023,4294967294,0,mothra,kaijus,43260,1734617064,1734617064,1734617065,1734619261,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
470,1734875732,\N,16,4294967294,1085,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1734875721,1734875721,0,1734875732,,"1=16,2=2048000,4=8,5=16"
471,1734875865,\N,16,4294967294,1086,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1734875758,1734875758,0,1734875865,,"1=16,2=2048000,4=8,5=16"
